cruell, cruel,'’
cruellnesse, cruelty,'’
crueltie, cruelty,'’
cryed, cried,'’
cryes, cries,'’
crystall, crystal,'’
cudgill, cudgel,'’
cum, '', [latin]
cunny,'’, rabbit
cupboord, cupboard,'’
Cupid,'’,'’
cupidoes,'’,[neologism] cherubs 
curiositie, curiosity,'’
curtesie, courtesy,'’
custome,'’,'’
Custome,'’,'’
customes, customs,'’
cypresse, cypress,'’
Cythera,'’,'’
daies, days,'’
daintie, dainty,'’
damaske, damask,'’
dammage, damage,'’
damme, dame,'’
damne, damn,'’
Daniel,'’,'’
Daphne,'’,'’
darest,'’,'’
darke, dark,'’
darknes, darkness,'’
darknesse, darkness,'’
dastard-like,'’,'’
dastardness,'’,'’
dastardnesse, dastardness,'’
daughter-in-law,'’,'’
dayes, days,'’
dayse, days,'’
de, '', [french]
de, '', [latin]
deale, deal,'’
deare, dear,'’
dearely, dearly,'’
Decamerone,'’,[italian] book
deceipt, deceit,'’
deceipts, deceits,'’
deceitfull, deceitful,'’
December,'’,'’
decke, deck,'’
declareth,'’,'’
deeme, deem,'’
deepe, deep,'’
deere, dear,'’
deforme, deform,'’
dein, '', [latin]
delaied, delayed,'’
delecates, delicates,'’
delightes, delights,'’
delighteth,'’,'’
delightfull, delightful,'’
demaunded, demanded,'’
demaunding, demanding,'’
Demeas,'’,'’
Demochares,'’,[character] bear-keeper
den, '', [german]
deniall, denial,'’
denie, deny,'’
denne, den,'’
dennes, dens,'’
dentibus, '', [latin]
denyed, denied,'’
departeth,'’,'’
des, '', [german]
desart, desert,'’
descendest,'’,'’
deservest,'’,'’
deserveth,'’,'’
desiredst,'’,'’
desiredst, desired,'’
desireth,'’,'’
despaire, despair,'’
despight, despite,'’
destinie, destiny,'’
devide, divide,'’
devouer, devour,'’
devoure, devour,'’
diademe, diadem,'’
Diana,'’,'’
diddest,'’,'’
diffamed, defamed,'’
difficill, difficult,'’
dimme, dim,'’
dimovent, '', [latin]
Diophanes,'’,'’
dishonour,'’,'’
dishonoured,'’,'’
dismembred, dismembered,'’
disordinate,'’,'’
dispossesse, dispossess,'’
dissentions, dissensions,'’
dissimuled,'’,'’
dissimuling, dissembling,'’
distinxerit, '', [latin]
disturbe, disturb,'’
divin, divine,'’
divini, '', [latin]
doctours, doctors,'’
doe, do,'’
dogge, dog,'’
dogges, dogs,'’
dolefull, doleful,'’
dolphine, dolphin,'’
domain,'’,'’
domus, '', [latin]
doore, door,'’
doores, doors,'’
dore⁠, '', [french]
dores, doors,'’
doubtfull, doubtful,'’
doubtlesse, doubtless,'’
downe, down,'’
downeward, downward,'’
Dr,'’,'’
dramatis, '', [latin]
dranke, drank,'’
dreadfull, dreadful,'’
dreame, dream,'’
dreamest,'’,'’
dresse, dress,'’
drinke, drink,'’
drinketh,'’,'’
drolatiques, '', [french]
droppe, drop,'’
drowsie, drowsy,'’
drummes, drums,'’
drunke, drunk,'’
ducis, '', [latin]
dulle, dull,'’
dunge, dung,'’
durty, dirty,'’
dwel, dwell,'’
dwelleth,'’,'’
eare, ear,'’
eares, ears,'’
earle, earl,'’
earneth,'’,'’
easie, easy,'’
eate, eat,'’
eateth,'’,'’
ebook,'’,'’
ebooks,'’,'’
ecce, '', [latin]
eftsoone,'’,'’
eftsoones,'’,'’
egge, egg,'’
Egin,'’,'’
ego, '', [latin]
Egremont,'’,'’
Egypptian, Egyptian,'’
Egyptian, '','’
Egyptians, '','’
eies, eyes,'’
ejus, '', [latin]
elderman,'’,'’
Eleusians,'’,'’
Eleusie, Eleusis,'’
Eleusis,'’,'’
Elizabethan,'’,'’
elocutio, '', [latin]
emboughings,'’,'’
embracest,'’,'’
ementita, '', [latin]
emperour, emperor,'’
emperours, emperors,'’
empoysoned, empoisoned,'’
emptie, empty,'’
en, '', [french]
en, '', [latin]
enchantresse, enchantress,'’
enchauntresse, enchantress,'’
encountereth,'’,'’
encountreth,'’,'’
encrease, increase,'’
encreased, increased,'’
encroch, encroach,'’
endevored, endeavored,'’
enemie, enemy,'’
enfastned, enfastened,'’
enforceth,'’,'’
England,'’,'’
English,'’,'’
english,'’,'’
Englishman,'’,'’
engraven,'’,'’
entangleth,'’,'’
enterlaced, interlaced,'’
enterprised,'’,'’
entertaine, entertain,'’
enterynge, entering,'’
entrailes, entrails,'’
entred, entered,'’
entrie, entry,'’
entring, entering,'’
envie, envy,'’
environest,'’,'’
eocuunt, '', [latin]
Epheseus, '',[character] cook
Ephesus,'’,city in Greece
Ephire, Epirus,'’
equall, equal,'’
equitie, equity,'’
equo, '', [latin]
ereading,'’,'’
Eridan,'’,'’
errour, error,'’
Esculapius, Asclepius,'’
espie, espy,'’
espieth,'’,'’
espyed, espied,'’
espyeth,'’,'’
esse, '', [latin]
esteeme, esteem,'’
estur, '', [latin]
et, '', [french]
et, '', [latin]
Eteocles,'’,'’
eternall, eternal,'’
Ethiopians,'’,'’
etiam, '', [latin]
Etolia,'’,'’
Euboea,'’,'’
eulx, '', [french]
eunuches, eunuchs,'’
Europa,'’,'’
ever-present,'’,'’
everie, every,'’
evil-favoured,'’,'’
evill, evil,'’
excell, excel,'’
excellencie, excellency,'’
excusation,'’,'’
expell, expel,'’
expresse, express,'’
expugnandum, '', [latin]
extendeth,'’,'’
extorta, '', [latin]
extream, extreme,'’
extreame, extreme,'’
extreamely, extremely,'’
eys, eyes,'’
eyther, either,'’
faciliores, '', [latin]
facilitie, facility,'’
facill, facile,'’
